freq(rad/ps)        WP3_minus(ps^4/rad^4)
    32.38316737      0.22566877    
    35.08394342      0.25026635    
    35.18442519      0.24914556    
    41.49259956      0.29953272    
    41.54964170      0.29678843    
    44.75026656      0.31542824    
    12.72149335      0.23226477E-01
    13.16946803      0.33125822E-01
    22.45972527      0.13952736    
    31.13671780      0.21810614    
    34.57040353      0.23885946    
    35.03583944      0.24878066    
    41.24905920      0.31647968    
    41.40535140      0.30496230    
    45.40112946      0.29377033    
    15.53280531      0.49303528E-01
    16.26277461      0.54797474E-01
    25.79215399      0.18593115    
    30.09659633      0.20531619    
    33.71110167      0.24078170    
    34.88950575      0.24205447    
    40.92623224      0.33656497    
    41.22445225      0.31898616    
    45.24968392      0.30696708    
    18.21350842      0.47726182E-01
    19.11778012      0.81061966E-01
    26.72341168      0.17877066    
    30.56486453      0.21395700    
    32.49981445      0.22013733    
    34.95377733      0.24678422    
    40.62766596      0.34179105    
    41.09243443      0.32756893    
    44.27233683      0.28896718    
    20.56295039      0.66946641E-01
    21.35938287      0.80099557E-01
    25.79750791      0.18510800    
    31.05941255      0.22149465    
    31.63990661      0.20919810    
    35.74248166      0.26268981    
    40.45146950      0.34465434    
    41.02670416      0.33135735    
    42.80858897      0.30549499    
    21.96103592      0.13580793    
    22.19897911      0.13758106    
    25.53355075      0.18741309    
    29.76506971      0.20040064    
    32.10915435      0.21756670    
    36.61511268      0.30699917    
    40.39998195      0.34546528    
    40.98974253      0.33284114    
    41.71880634      0.29626887    
    20.56002459      0.66884336E-01
    22.32245757      0.13289278    
    26.45787899      0.19458347    
    29.42041184      0.20738169    
    32.57030170      0.21528469    
    35.98100453      0.26955750    
    40.33674412      0.34384443    
    40.95120350      0.33525822    
    42.30318615      0.31350475    
    18.42265119      0.36458925E-01
    20.70453951      0.72783653E-01
    27.15017202      0.17801545    
    30.25944603      0.21218937    
    32.47818142      0.22146428    
    35.10343272      0.25079267    
    40.43369714      0.34517945    
    40.92444608      0.33658558    
    43.70435997      0.29151793    
    15.97258577      0.52070648E-01
    18.15630178      0.54041895E-01
    26.23784296      0.19512853    
    31.50740433      0.20578663    
    31.93042627      0.21543920    
    35.38216716      0.25759169    
    40.71936577      0.34114255    
    40.94210328      0.33570754    
    44.85733579      0.31793441    
    13.37353817      0.35089875E-01
